Name,Date,Hastags,Tweet,Number of Retweets,Number of Likes,Number of Comments,Embedded links,Image 1,Image 2
SRA Albatross,16 Aug 2017,#Cardiff,This @JRC_Buffet in #Cardiff is LUSH,1,,4,,,
micah,12 Feb 2020,,Replying to @mandersonxoxo3,,,1,,https://pbs.twimg.com/media/EQg_aEzWkAAbl15?format=jpg&name=360x360,https://pbs.twimg.com/media/EQg_aFDXsAEUVTk?format=jpg&name=360x360
micah,12 Feb 2020,,"JRC Global Buffet - Cardiff bay 
Phat munch. Loads of different cuisines. Also has a chocolate fountain.",,,1,,https://pbs.twimg.com/media/EQg_6ClWsAEz3jf?format=jpg&name=360x360,https://pbs.twimg.com/media/EQg_6CmWAAAu-bQ?format=jpg&name=360x360
patagoniaeurope,,,,33,151,5,https://eu.patagonia.com/gb/en/shop/collections-bureo?utm_source=twitter&utm_medium=social&utm_campaign=netplus&twclid=11447869672557359113,https://pbs.twimg.com/media/FAYW5UaWEAAMZg4?format=jpg&name=small,https://pbs.twimg.com/media/FAXhoRBXEAAZQXx?format=jpg&name=small
Rachel Harries,22 Jun 2019,,Food! Xx — at JRC Global Buffet Cardiff Bay https://facebook.com/574837860/posts/10156510770682861/…,,,,,,
Lord Justin Keenan,10 Aug 2016,#Cardiff|#Singha,Only had a few courses @JRC_Buffet #Cardiff + #Singha Lager.  Stuffed & can hardly walk to hotel. All Good!,,,1,,https://pbs.twimg.com/media/CpdCVweWcAAtU_7?format=jpg&name=small,
